,Country Name,% of one years-old not vaccinated
67751,Afghanistan,34.0
69180,Albania,1.0
70609,Algeria,9.0
73467,Andorra,2.0
74896,Angola,41.0
76325,Antigua and Barbuda,5.0
77754,Argentina,14.0
79183,Armenia,8.0
82041,Australia,5.0
83470,Austria,15.0
84899,Azerbaijan,5.0
86328,Bahamas,10.0
87757,Bahrain,1.0
89186,Bangladesh,2.0
90615,Barbados,5.0
92044,Belarus,2.0
93473,Belgium,3.0
94902,Belize,4.0
96331,Benin,24.0
99189,Bhutan,3.0
100618,Bolivia,17.0
102047,Bosnia and Herzegovina,20.0
103476,Botswana,5.0
104905,Brazil,17.0
107763,Brunei Darussalam,1.0
109192,Bulgaria,15.0
110621,Burkina Faso,9.0
112050,Burundi,10.0
113479,Cabo Verde,1.0
114908,Cambodia,8.0
116337,Cameroon,21.0
117766,Canada,29.0
120624,Central African Republic,53.0
122053,Chad,59.0
124911,Chile,5.0
126340,China,1.0
127769,Colombia,8.0
129198,Comoros,9.0
130627,Congo,19.0
132056,Congo,25.0
133485,Costa Rica,2.0
134914,Cote d'Ivoire,18.0
136343,Croatia,7.0
137772,Cuba,1.0
140630,Cyprus,3.0
142059,Czech Republic,6.0
144917,Djibouti,16.0
146346,Dominica,6.0
147775,Dominican Republic,8.0
149204,Ecuador,15.0
150633,Egypt,5.0
152062,El Salvador,19.0
153491,Equatorial Guinea,75.0
154920,Eritrea,5.0
156349,Estonia,7.0
157778,Eswatini,10.0
159207,Ethiopia,28.0
162065,Fiji,1.0
164923,France,10.0
167781,Gabon,30.0
169210,Gambia,7.0
170639,Georgia,7.0
172068,Germany,13.0
173497,Ghana,3.0
176355,Greece,4.0
179213,Grenada,4.0
182071,Guatemala,14.0
183500,Guinea,55.0
184929,Guinea-Bissau,12.0
186358,Guyana,5.0
187787,Haiti,36.0
189216,Honduras,10.0
194932,India,11.0
196361,Indonesia,21.0
197790,Iran,1.0
199219,Iraq,16.0
200648,Ireland,6.0
203506,Israel,3.0
204935,Italy,5.0
206364,Jamaica,3.0
209222,Jordan,4.0
210651,Kazakhstan,2.0
212080,Kenya,8.0
213509,Kiribati,5.0
214938,Korea,3.0
216367,Korea,2.0
219225,Kuwait,1.0
220654,Kyrgyz Republic,8.0
222083,Lao PDR,32.0
223512,Latvia,4.0
224941,Lebanon,20.0
226370,Lesotho,7.0
227799,Liberia,16.0
229228,Libya,3.0
232086,Lithuania,7.0
233515,Luxembourg,4.0
236373,Madagascar,25.0
237802,Malawi,8.0
239231,Malaysia,1.0
240660,Maldives,1.0
242089,Mali,29.0
243518,Malta,2.0
244947,Marshall Islands,16.0
246376,Mauritania,19.0
247805,Mauritius,3.0
249234,Mexico,45.0
250663,Micronesia,17.0
252092,Moldova,6.0
253521,Monaco,1.0
254950,Mongolia,1.0
256379,Montenegro,27.0
257808,Morocco,1.0
259237,Mozambique,20.0
260666,Myanmar,9.0
262095,Namibia,11.0
263524,Nauru,10.0
264953,Nepal,9.0
266382,Netherlands,8.0
269240,New Zealand,7.0
270669,Nicaragua,2.0
272098,Niger,21.0
273527,Nigeria,43.0
274956,North Macedonia,9.0
279243,Oman,1.0
280672,Pakistan,25.0
282101,Palau,2.0
283530,Panama,12.0
284959,Papua New Guinea,39.0
286388,Paraguay,12.0
287817,Peru,16.0
289246,Philippines,35.0
290675,Poland,9.0
292104,Portugal,2.0
294962,Qatar,2.0
296391,Romania,7.0
297820,Russian Federation,3.0
299249,Rwanda,3.0
300678,Samoa,66.0
302107,San Marino,22.0
303536,Sao Tome and Principe,5.0
304965,Saudi Arabia,3.0
306394,Senegal,18.0
307823,Serbia,9.0
309252,Seychelles,1.0
310681,Sierra Leone,10.0
312110,Singapore,4.0
314968,Slovak Republic,4.0
317826,Solomon Islands,15.0
319255,Somalia,58.0
320684,South Africa,26.0
322113,South Sudan,51.0
323542,Spain,6.0
324971,Sri Lanka,1.0
326400,St. Kitts and Nevis,2.0
327829,St. Lucia,5.0
330687,St. Vincent and the Grenadines,3.0
332116,Sudan,7.0
333545,Suriname,5.0
334974,Sweden,8.0
336403,Switzerland,28.0
337832,Syrian Arab Republic,53.0
339261,Tajikistan,4.0
340690,Tanzania,2.0
342119,Thailand,3.0
343548,Timor-Leste,17.0
344977,Togo,12.0
346406,Tonga,19.0
347835,Trinidad and Tobago,1.0
349264,Tunisia,3.0
350693,Turkey,2.0
352122,Turkmenistan,1.0
354980,Tuvalu,11.0
356409,Uganda,7.0
357838,Ukraine,48.0
359267,United Arab Emirates,1.0
362125,United States,9.0
363554,Uruguay,9.0
364983,Uzbekistan,2.0
366412,Vanuatu,15.0
367841,Venezuela,40.0
369270,Vietnam,25.0
373557,Yemen,35.0
374986,Zambia,10.0
376415,Zimbabwe,11.0
